1.00419	536
1.21426	1072
1.22023	1608
1.2262	2144
1.23124	2680
1.23312	3216
1.23721	3752
1.2391	4288
1.24099	4824
1.24318	5360
1.24507	5896
1.24696	6432
1.24885	6968
1.25074	7504
1.25262	8040
1.25451	8576
1.2564	9112
1.25829	9648
1.26018	10184
1.26206	10720
1.26395	11256
1.26584	11792
1.26773	12328
1.26962	12864
1.2715	13400
1.27339	13936
1.27528	14472
1.27717	15008
1.27906	15544
1.28094	16080
1.28283	16616
1.28405	17152
1.28587	17688
1.28768	18224
1.29171	18760
1.2999	19296
1.3081	19832
1.31629	20368
1.32448	20904
1.33267	21440
1.34086	21976
1.34906	22512
1.35725	23048
1.36544	23584
1.37363	24120
1.38182	24656
1.39002	25192
1.39821	25728
1.4064	26264
1.41459	26800
1.42278	27336
1.43098	27872
1.43917	28408
1.44736	28944
1.45555	29480
1.46374	30016
1.47194	30552
1.48013	31088
1.48832	31624
1.49651	32160
1.5047	32696
1.5129	33232
1.52109	33768
1.52928	34304
1.53747	34840
1.54566	35376
1.55386	35912
1.56205	36448
1.57024	36984
1.57843	37520
1.58662	38056
1.59482	38592
1.60301	39128
1.6112	39664
1.61939	40200
1.62758	40736
1.63578	41272
1.64397	41808
1.65216	42344
1.66035	42880
1.66854	43416
1.67674	43952
1.68493	44488
1.69312	45024
1.70131	45560
1.7095	46096
1.7177	46632
1.72589	47168
1.73408	47704
1.74227	48240
1.75046	48776
1.75866	49312
1.76685	49848
1.77504	50384
1.78323	50920
1.79142	51456
1.79962	51992
1.80781	52528
1.816	53064
1.82419	53600
1.83238	54136
1.84058	54672
1.84877	55208
1.85696	55744
1.86515	56280
1.87334	56816
1.88154	57352
1.88973	57888
1.89792	58424
1.90611	58960
1.9143	59496
1.9225	60032
1.93069	60568
1.93888	61104
1.94707	61640
1.95526	62176
1.96346	62712
1.97165	63248
1.97984	63784
1.98803	64320
1.99622	64856
2.00442	65392
2.01261	65928
2.0208	66464
2.02899	67000
2.03718	67536
2.04538	68072
2.05357	68608
2.06176	69144
2.06995	69680
2.07814	70216
2.08634	70752
2.09453	71288
2.10272	71824
2.11091	72360
2.1191	72896
2.1273	73432
2.13549	73968
2.14368	74504
2.15187	75040
2.16006	75576
2.16826	76112
2.17645	76648
2.18464	77184
2.19283	77720
2.20102	78256
2.20922	78792
2.21741	79328
2.2256	79864
2.23379	80400
2.24198	80936
2.25018	81472
2.25837	82008
2.26656	82544
2.27475	83080
2.28294	83616
2.29114	84152
2.29933	84688
2.30752	85224
2.31571	85760
2.3239	86296
2.3321	86832
2.34029	87368
2.34848	87904
2.35667	88440
2.36486	88976
2.37306	89512
2.38125	90048
2.38944	90584
2.39763	91120
2.40582	91656
2.41402	92192
2.42221	92728
2.4304	93264
2.43859	93800
2.44678	94336
2.45498	94872
2.46317	95408
2.47136	95944
2.47955	96480
2.48774	97016
2.49594	97552
2.50413	98088
2.51232	98624
2.52051	99160
2.5287	99696
2.5369	100232
2.54509	100768
2.55328	101304
2.56147	101840
2.56966	102376
2.57786	102912
2.58605	103448
2.59424	103984
2.60243	104520
2.61062	105056
2.61882	105592
2.62701	106128
2.6352	106664
2.64339	107200
2.65158	107736
2.65978	108272
2.66797	108808
2.67616	109344
2.68435	109880
2.69254	110416
2.70074	110952
2.70893	111488
2.71712	112024
2.72531	112560
2.7335	113096
2.7417	113632
2.74989	114168
2.75808	114704
2.76627	115240
2.77446	115776
2.78266	116312
2.79085	116848
2.79904	117384
2.80723	117920
2.81542	118456
2.82362	118992
2.83181	119528
2.84	120064
2.84819	120600
2.85638	121136
2.86458	121672
2.87277	122208
2.88096	122744
2.88915	123280
2.89734	123816
2.90554	124352
2.91373	124888
2.92192	125424
2.93011	125960
2.9383	126496
2.9465	127032
2.95469	127568
2.96288	128104
2.97107	128640
2.97926	129176
2.98746	129712
2.99565	130248
3.00384	130784
3.01203	131320
3.02022	131856
3.02842	132392
3.03661	132928
3.0448	133464
3.05299	134000
3.06118	134536
3.06938	135072
3.07757	135608
3.08576	136144
3.09395	136680
3.10214	137216
3.11034	137752
3.11853	138288
3.12672	138824
3.13491	139360
3.1431	139896
3.1513	140432
3.15949	140968
3.16768	141504
3.17587	142040
3.18406	142576
3.19226	143112
3.20045	143648
3.20864	144184
3.21683	144720
3.22502	145256
3.23322	145792
3.24141	146328
3.2496	146864
3.25779	147400
3.26598	147936
3.27418	148472
3.28237	149008
3.29056	149544
3.29875	150080
3.30694	150616
3.31514	151152
3.32333	151688
3.33152	152224
3.33971	152760
3.3479	153296
3.3561	153832
3.36429	154368
3.37248	154904
3.38067	155440
3.38886	155976
3.39706	156512
3.40525	157048
3.41344	157584
3.42163	158120
3.42982	158656
3.43802	159192
3.44621	159728
3.4544	160264
3.46259	160800
3.47078	161336
3.47898	161872
3.48717	162408
3.49536	162944
3.50355	163480
3.51174	164016
3.51994	164552
3.52813	165088
3.53632	165624
3.54451	166160
3.5527	166696
3.5609	167232
3.56909	167768
3.57728	168304
3.58547	168840
3.59366	169376
3.60186	169912
3.61005	170448
3.61824	170984
3.62643	171520
3.63462	172056
3.64282	172592
3.65101	173128
3.6592	173664
3.66739	174200
3.67558	174736
3.68378	175272
3.69197	175808
3.70016	176344
3.70835	176880
3.71654	177416
3.72474	177952
3.73293	178488
3.74112	179024
3.74931	179560
3.7575	180096
3.7657	180632
3.77389	181168
3.78208	181704
3.79027	182240
3.79846	182776
3.80666	183312
3.81485	183848
3.82304	184384
3.83123	184920
3.83942	185456
3.84762	185992
3.85581	186528
3.864	187064
3.87219	187600
